player_id,game_id,game_date,matchup,team_abbreviation,minutes,points,assists,rebounds,steals,blocks,turnovers,fgm,fga,fg3m,fg3a,avg_points_last5,avg_assists_last5,avg_rebounds_last5,avg_minutes_last5,avg_fg3m_last5,avg_fg3a_last5,avg_fga_last5,fg3_pct_last5
204456,22500659,2026-01-26,IND @ ATL,IND,18.0,16.0,3.0,1.0,1.0,0.0,2.0,7.0,11.0,0.0,1.0,10.0,4.333333333333333,2.6666666666666665,16.666666666666668,0.0,0.3333333333333333,8.333333333333334,0.0
1626145,22500658,2026-01-26,ORL @ CLE,ORL,18.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,2.75,3.75,1.25,14.0,0.75,1.0,2.0,0.75
1626156,22500546,2026-01-10,DAL @ CHI,,19.0,8.0,4.0,2.0,0.0,0.0,2.0,4.0,10.0,0.0,2.0,8.0,4.0,2.0,19.0,0.0,2.0,10.0,0.0
1626157,22500665,2026-01-27,NYK vs. SAC,,27.0,17.0,4.0,11.0,0.0,0.0,2.0,5.0,15.0,3.0,8.0,12.5,3.25,16.5,30.75,1.0,3.5,12.25,0.2857142857142857
1626162,22500657,2026-01-26,PHI @ CHA,,25.0,17.0,0.0,2.0,2.0,0.0,2.0,7.0,12.0,1.0,4.0,13.333333333333334,1.3333333333333333,5.0,30.666666666666668,1.3333333333333333,4.0,9.333333333333334,0.3333333333333333
1626164,22500636,2026-01-23,PHX @ ATL,PHX,28.0,31.0,3.0,4.0,1.0,0.0,2.0,12.0,21.0,5.0,9.0,31.0,3.0,4.0,28.0,5.0,9.0,21.0,0.5555555555555556
1626167,22500666,2026-01-27,MIL @ PHI,,35.0,31.0,3.0,4.0,1.0,2.0,2.0,10.0,16.0,4.0,8.0,19.666666666666668,1.6666666666666667,7.333333333333333,33.333333333333336,2.3333333333333335,6.0,13.333333333333334,0.3888888888888889
1626171,22500666,2026-01-27,MIL @ PHI,,36.0,17.0,8.0,12.0,1.0,0.0,2.0,8.0,16.0,0.0,3.0,14.666666666666666,4.666666666666667,10.333333333333334,36.333333333333336,0.6666666666666666,3.3333333333333335,15.333333333333334,0.19999999999999998
1626172,22500624,2026-01-21,NOP vs. DET,NOP,10.0,4.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,7.0,10.0,0.0,0.0,2.0,
1626181,22500655,2026-01-25,MIA @ PHX,,31.0,16.0,1.0,10.0,1.0,0.0,2.0,5.0,21.0,2.0,10.0,19.666666666666668,1.0,4.0,29.666666666666668,2.0,7.0,18.0,0.2857142857142857
1626192,22500657,2026-01-26,CHA vs. PHI,CHA,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,
1626204,22500658,2026-01-26,CLE vs. ORL,,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.75,0.5,2.5,9.25,0.25,1.25,3.0,0.2
1626220,22500669,2026-01-27,PHX vs. BKN,,34.0,7.0,4.0,2.0,2.0,1.0,1.0,2.0,9.0,0.0,5.0,9.5,2.75,3.25,30.0,2.25,6.5,8.25,0.34615384615384615
1627734,22500665,2026-01-27,SAC @ NYK,,33.0,11.0,7.0,12.0,0.0,1.0,3.0,5.0,10.0,0.0,2.0,12.5,5.0,9.5,30.5,0.0,1.5,10.0,0.0
1627739,22500656,2026-01-25,LAC vs. BKN,LAC,13.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,2.6666666666666665,3.3333333333333335,22.666666666666668,0.3333333333333333,2.6666666666666665,6.666666666666667,0.125
1627741,22500663,2026-01-26,GSW @ MIN,GSW,29.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,10.0,1.0,4.0,9.333333333333334,3.0,3.0,21.0,2.0,5.666666666666667,9.333333333333334,0.3529411764705882
1627742,22500653,2026-01-25,TOR @ OKC,TOR,36.0,13.0,4.0,5.0,0.0,2.0,1.0,5.0,18.0,0.0,3.0,23.5,2.75,4.75,35.0,1.5,4.75,19.0,0.3157894736842105
1627747,22500017,2026-01-19,DET vs. BOS,DET,17.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,6.0,0.0,4.0,2.0,1.0,3.0,17.0,0.0,4.0,6.0,0.0
1627750,22500668,2026-01-27,DEN vs. DET,,39.0,24.0,10.0,5.0,0.0,1.0,2.0,7.0,18.0,0.0,6.0,20.75,9.25,4.5,35.75,1.75,5.5,15.0,0.3181818181818182
1627751,22500397,2025-12-21,TOR @ BKN,,7.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,0.0,1.0,
1627752,22500165,2025-11-04,MIL @ TOR,,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,21.0,0.0,5.0,5.0,0.0
1627759,22500660,2026-01-26,BOS vs. POR,BOS,36.0,20.0,4.0,8.0,4.0,0.0,1.0,8.0,17.0,1.0,3.0,23.666666666666668,3.0,9.333333333333334,31.333333333333332,1.6666666666666667,4.666666666666667,19.0,0.35714285714285715
1627780,22500663,2026-01-26,GSW @ MIN,,12.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,0.0,2.0,4.0,0.0,1.0,12.0,0.0,2.0,4.0,0.0
1627783,22500659,2026-01-26,IND @ ATL,,35.0,26.0,4.0,9.0,0.0,3.0,0.0,8.0,21.0,2.0,9.0,23.666666666666668,3.3333333333333335,6.0,34.666666666666664,1.3333333333333333,5.0,17.333333333333332,0.26666666666666666
1627824,22500665,2026-01-27,NYK vs. SAC,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.3333333333333333,0.0,2.3333333333333335,4.666666666666667,0.0,1.0,1.6666666666666667,0.0
1627826,22500670,2026-01-27,LAC @ UTA,,22.0,9.0,3.0,7.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,12.0,2.0,11.333333333333334,28.333333333333332,0.0,0.0,7.0,
